PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
Labetalolol,labetalolol,labetalolol,labetalol
Labetatol,labetatol,labetatol,labetalol
Labetolol,labetolol,labetolol,labetalol
Lactobacillus,lactobacillus,lactobacillus,lactobacillus
Lactobacillus Extra Strength,lactobacillus extra strength,lactobacillus,lactobacillus
Lactose,lactose,lactose,lactose
Lactulose,lactulose,lactulose,lactulose
Lamictal,lamictal,lamictal,lamictal
LamoTRIgine,lamotrigine,lamotrigine,lamotrigine
Lamotrigine,lamotrigine,lamotrigine,lamotrigine
Lancets,lancets,lancets,lancets
Lanolin,lanolin,lanolin,lanolin
Lansoprazole,lansoprazole,lansoprazole,lansoprazole
Lantis,lantis,lantis,lactis
Lantoprazole,lantoprazole,lantoprazole,pantoprazole
Lantus,lantus,lantus,lantus
Lantus 20 units,lantus  units,lantus units,lantus units
Lantus Insulin,lantus insulin,lantus insulin,insulin
Lanzoprazole,lanzoprazole,lanzoprazole,lansoprazole
Lasix,lasix,lasix,lasix
Lasoprazole,lasoprazole,lasoprazole,lansoprazole
Latuda,latuda,latuda,latuda
Lavonox,lavonox,lavonox,lavonox
Lebetalol,lebetalol,lebetalol,labetalol
Lemon Oil,lemon oil,lemon oil,salmon oil
Leothyronine,leothyronine,leothyronine,liothyronine
Letrazole,letrazole,letrazole,letrozole
Letrozole,letrozole,letrozole,letrozole
LevETIRAacetam,levetiraacetam,levetiraacetam,levetiracetam
Levalbuterol,levalbuterol,levalbuterol,levalbuterol
Levalbuterol HCl,levalbuterol hcl,levalbuterol,levalbuterol
Levalbuterol Tartrate,levalbuterol tartrate,levalbuterol tartrate,levalbuterol tartrate
Levamir,levamir,levamir,levamir
Levanox,levanox,levanox,levanox
Levemir,levemir,levemir,levemir
Levemir FlexTouch,levemir flextouch,levemir flextouch,levemir flextouch
LevemirFlextouch,levemirflextouch,levemirflextouch,levemirflextouch
Levetiracetam,levetiracetam,levetiracetam,levetiracetam
Levlofloxacin,levlofloxacin,levlofloxacin,levofloxacin
Levocetirizine,levocetirizine,levocetirizine,levocetirizine
Levofloxacin,levofloxacin,levofloxacin,levofloxacin
Levomefolate Glucosamine,levomefolate glucosamine,levomefolate glucosamine,levomefolate glucosamine
Levonogestrel-ethinyl estradiol,levonogestrel ethinyl estradiol,levonogestrel ethinyl estradiol,desogestrel  ethinyl estradiol
Levonorgestrel,levonorgestrel,levonorgestrel,levonorgestrel
Levonorgestrel-Ethinyl Estradiol,levonorgestrel ethinyl estradiol,levonorgestrel ethinyl estradiol,desogestrel  ethinyl estradiol
Levonorgestrel-ethinyl,levonorgestrel ethinyl,levonorgestrel ethinyl,levonorgestrel ethinyl
Levonorgestrel-ethinyl estradiol,levonorgestrel ethinyl estradiol,levonorgestrel ethinyl estradiol,desogestrel  ethinyl estradiol
Levonox,levonox,levonox,levonox
Levothyroxine,levothyroxine,levothyroxine,thyroxine
Levoxyl,levoxyl,levoxyl,levoxyl
Lexapro,lexapro,lexapro,lexapro
Lialda,lialda,lialda,lialda
Lidocaine,lidocaine,lidocaine,lidocaine
Lidocaine 5%,lidocaine ,lidocaine,lidocaine
Lidocaine IV,lidocaine iv,lidocaine,lidocaine
Lidocaine ointment,lidocaine ointment,lidocaine,lidocaine
Lidocaine topical jelly,lidocaine topical jelly,lidocaine,lidocaine
Lidocaine-Hydrocortisone Ace,lidocaine hydrocortisone ace,lidocaine hydrocortisone ace,lidocaine hydrocortisone ace
Lidocaine-Hydrocortisone Ace 3-0.5 %,lidocaine hydrocortisone ace   ,lidocaine hydrocortisone ace,lidocaine hydrocortisone ace
Lidocaine-Tetracaine,lidocaine tetracaine,lidocaine tetracaine,lidocaine  tetracaine
Lidocaine-hydrocortisone,lidocaine hydrocortisone,lidocaine hydrocortisone,lidocaine hydrochloride
Lifitegrast,lifitegrast,lifitegrast,lifitegrast
Linaclotide,linaclotide,linaclotide,linaclotide
Linagliptin,linagliptin,linagliptin,linagliptin
Liniments,liniments,liniments,liniments
Lisdexamfetamine,lisdexamfetamine,lisdexamfetamine,lisdexamfetamine
Lisdexamfetamine Dimesylate,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate
Lisinopril,lisinopril,lisinopril,lisinopril
Lispro,lispro,lispro,lispro
Lithium,lithium,lithium,lithium
Lithium Carbonate,lithium carbonate,lithium carbonate,lithium carbonate
Lo Loestrin,lo loestrin,lo loestrin,lyo loestrin
Lo Loestrin Fe,lo loestrin fe,lo loestrin fe,lyo loestrin fe
Lobetalol,lobetalol,lobetalol,labetalol
Lomictol,lomictol,lomictol,lomictol
Lomotil,lomotil,lomotil,lomotil
Longevity,longevity,longevity,longevity
Loperamide,loperamide,loperamide,loperamide
Loratab,loratab,loratab,loratab
Loratadine,loratadine,loratadine,loratadine
Loratidine,loratidine,loratidine,loratadine
Loratidine-pseudoepinephrine,loratidine pseudoepinephrine,loratidine pseudoepinephrine,loratadine  pseudoephedrine
Lorazepam,lorazepam,lorazepam,lorazepam
Losartan,losartan,losartan,losartan
Losartan Potassium-HCTZ,losartan potassium hctz,losartan potassium hctz,losartan potassium
Loteprednol,loteprednol,loteprednol,loteprednol
Loteprednol Etabonate eye drops,loteprednol etabonate eye drops,loteprednol etabonate eye,loteprednol etabonate
Lotrisone,lotrisone,lotrisone,lotrisone
Lovenox,lovenox,lovenox,lovenox
Lubiprostone,lubiprostone,lubiprostone,lubiprostone
Lurasidone,lurasidone,lurasidone,lurasidone
Lurasonide,lurasonide,lurasonide,lurasidone
Lutera,lutera,lutera,lutera
Lyrica,lyrica,lyrica,lyrica
Lysine,lysine,lysine,lysine
MAALOX,maalox,maalox,maalox
MAALOX REG STRENGTH,maalox reg strength,maalox reg,maalox reg
MACROBID,macrobid,macrobid,macrobid
MACRODANTIN,macrodantin,macrodantin,macrodantin
MAGNESIA,magnesia,magnesia,magnesium
MAGNESIUM,magnesium,magnesium,magnesium
MAGNESIUM CITRATE,magnesium citrate,magnesium citrate,magnesium citrate
MAGNESIUM ORAL,magnesium oral,magnesium,magnesium
MAGNESIUM SULFATE,magnesium sulfate,magnesium sulfate,magnesium sulfate
MAKENA,makena,makena,makena
MAcrobid,macrobid,macrobid,macrobid
MAgnesium,magnesium,magnesium,magnesium
MAkena,makena,makena,makena
MDMA exposure in 3rd trimester,mdma exposure in rd trimester,mdma exposure in rd trimester,mdma exposure in red trimester
MEDROL,medrol,medrol,medrol
METFORMIN,metformin,metformin,metformin
METHERGINE,methergine,methergine,methysergide
METHIMAZOLE,methimazole,methimazole,methimazole
METHYLFOLATE,methylfolate,methylfolate,lmethylfolate
METROGEL,metrogel,metrogel,metrogel
METROGEL VAGINAL,metrogel vaginal,metrogel,metrogel
METRONIDAZOLE,metronidazole,metronidazole,metronidazole
MEtformin,metformin,metformin,metformin
MEtrogel,metrogel,metrogel,metrogel
MEtronidazole,metronidazole,metronidazole,metronidazole
MICANAZOLE NITRATE,micanazole nitrate,micanazole nitrate,miconazole nitrate
MICONAZOLE,miconazole,miconazole,miconazole
MICONAZOLE NITRATE 2 % VAGINAL CREAM,miconazole nitrate   vaginal cream,miconazole nitrate,miconazole nitrate
MINOCYCLINE,minocycline,minocycline,minocycline
MIRALAX,miralax,miralax,miralax
MIRENA,mirena,mirena,mirena
MONISTAT,monistat,monistat,monistat
MORPHINE,morphine,morphine,morphine
MORPHINe,morphine,morphine,morphine
MOSQUITO REPELLANT,mosquito repellant,mosquito repellant,mosquito repellant
MOTRIN,motrin,motrin,motrin
MUCINEX,mucinex,mucinex,mucinex
MULTIVITAL,multivital,multivital,multivital
MULTIVITAMIN,multivitamin,multivitamin,multivitamin
MUPIROCIN,mupirocin,mupirocin,mupirocin
MVM,mvm,mvm,mvm
MYTUSSIN,mytussin,mytussin,mytussin
Maalox,maalox,maalox,maalox
Maalox Reg Strength,maalox reg strength,maalox reg,maalox reg
Maalox reg strength,maalox reg strength,maalox reg,maalox reg
Maalox regular strength,maalox regular strength,maalox,maalox
Macirdantin,macirdantin,macirdantin,macirdantin
Macrobid,macrobid,macrobid,macrobid
Macrodantin,macrodantin,macrodantin,macrodantin
Macrodantitn,macrodantitn,macrodantitn,macrodantitn
Mag,mag,mag,mag
Mag-ox,mag ox,mag ox,mag ox
Magaldrate,magaldrate,magaldrate,magaldrate
Magaldrate-Simethicone,magaldrate simethicone,magaldrate simethicone,magaldrate  simethicone
Magneisum,magneisum,magneisum,magnesium
Magnesium,magnesium,magnesium,magnesium
Magnesium Citrate,magnesium citrate,magnesium citrate,magnesium citrate
Magnesium Gluconate,magnesium gluconate,magnesium gluconate,magnesium gluconate
Magnesium Glycinate,magnesium glycinate,magnesium glycinate,magnesium gluconate
Magnesium Hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide
Magnesium Oxide,magnesium oxide,magnesium oxide,magnesium oxide
Magnesium citrate,magnesium citrate,magnesium citrate,magnesium citrate
Magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide
Magnesium milk,magnesium milk,magnesium milk,magnesium malate
Magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide
Magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate
Magnesium,magnesium,magnesium,magnesium
Magnesium Oxide,magnesium oxide,magnesium oxide,magnesium oxide
Magnesium-aluminium-hydroxide-simethicone,magnesium aluminium hydroxide simethicone,magnesium aluminium hydroxide simethicone,magnesium aluminum hydroxide simethicone
Magnesium-aluminum-hydroxide-simethicone,magnesium aluminum hydroxide simethicone,magnesium aluminum hydroxide simethicone,magnesium aluminum hydroxide simethicone
Magnessium,magnessium,magnessium,magnesium
Magnesum,magnesum,magnesum,magnesium
Magnisium,magnisium,magnisium,magnesium
Makena,makena,makena,makena
Malarone,malarone,malarone,malarone
Marcridantin,marcridantin,marcridantin,marcridantin
Marijuana metabolites,marijuana metabolites,marijuana metabolites,marijuana metabolites
Meclizine,meclizine,meclizine,meclizine
Meclizine HCl,meclizine hcl,meclizine,meclizine
Medication for ITP,medication for itp,medication for itp,medication for itp
Medication for migraine (unspecified),medication for migraine unspecified,medication for migraine unspecified,medication for migraine unspecified
Medrol,medrol,medrol,medrol
Medroxyprogesterone,medroxyprogesterone,medroxyprogesterone,medroxyprogesterone
Meds for acid reflux,meds for acid reflux,meds for acid reflux,meds for acid reflux
Mefloquine,mefloquine,mefloquine,mefloquine
Mekena,mekena,mekena,mekena
Melatonin,melatonin,melatonin,melatonin
Melatonine,melatonine,melatonine,melatonin
Melox,melox,melox,melon
Menestrin,menestrin,menestrin,menestrin
Menthol,menthol,menthol,menthol
Meperidine,meperidine,meperidine,meperidine
Mepivacaine,mepivacaine,mepivacaine,mepivacaine
Merolax,merolax,merolax,merolax
Mesalamine,mesalamine,mesalamine,mesalamine
MetFORMIN,metformin,metformin,metformin
Metamucil,metamucil,metamucil,metamucil
Metfomin,metfomin,metfomin,metformin
Metformin,metformin,metformin,metformin
Metformin or Placebo (MOMPOD Study),metformin or placebo mompod study,metformin or placebo mompod study,metformin or placebo mompod study
Metformin or Placebo (MPOD Study),metformin or placebo mpod study,metformin or placebo mpod study,metformin or placebo mpod study
Metformin or Placebo: MOMPOD Study Participant,metformin or placebo mompod study participant,metformin or placebo mompod study participant,metformin or placebo mompod study participant
Metformin/Placebo,metforminplacebo,metforminplacebo,metforminplacebo
Metformin/Placebo H-42972,metforminplacebo h ,metforminplacebo h,metforminplacebo h
Metformin/placebo,metforminplacebo,metforminplacebo,metforminplacebo
Metformin/placebo (MOMPOD),metforminplacebo mompod,metforminplacebo mompod,metforminplacebo mompod
Methadone,methadone,methadone,methadone
Methimazol,methimazol,methimazol,methimazole
Methimazole,methimazole,methimazole,methimazole
Methocarbamol,methocarbamol,methocarbamol,methocarbamol
Methotrexate,methotrexate,methotrexate,methotrexate
MethylPREDNISolone,methylprednisolone,methylprednisolone,methylprednisolone
Methyldopa,methyldopa,methyldopa,methyldopa
Methylfol-Methylcob-Acetylcyst,methylfol methylcob acetylcyst,methylfol methylcob acetylcyst,lmethylfolate methyl acetylcysteine
Methylfolate,methylfolate,methylfolate,lmethylfolate
Methylnaltrexone bromide,methylnaltrexone bromide,methylnaltrexone bromide,methylnaltrexone bromide
Methylphenidate,methylphenidate,methylphenidate,methylphenidate
Methylprednisolone,methylprednisolone,methylprednisolone,methylprednisolone
Methylprednisolone sodium succinate,methylprednisolone sodium succinate,methylprednisolone sodium succinate,methylprednisolone sodium succinate
Methylprogesterone,methylprogesterone,methylprogesterone,medroxyprogesterone
Methylsulfonylmethane,methylsulfonylmethane,methylsulfonylmethane,methylsulfonylmethane
Metoclopramide,metoclopramide,metoclopramide,metoclopramide
Metoclorpamide,metoclorpamide,metoclorpamide,metoclopramide
Metoprolol,metoprolol,metoprolol,metoprolol
Metoprolol Succinate Er,metoprolol succinate er,metoprolol succinate er,metoprolol succinate er
Metoprolol succinate,metoprolol succinate,metoprolol succinate,metoprolol succinate
Metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate
Metoproral,metoproral,metoproral,metoprolol
Metranidazole,metranidazole,metranidazole,metronidazole
MetroNIDAZOLE,metronidazole,metronidazole,metronidazole
Metrodinazole,metrodinazole,metrodinazole,metronidazole
Metrogel,metrogel,metrogel,metrogel
Metrogel Vaginal,metrogel vaginal,metrogel,metrogel
Metrogel Vaginal gel,metrogel vaginal gel,metrogel,metrogel
Metronidazol,metronidazol,metronidazol,metronidazole
Metronidazol gel,metronidazol gel,metronidazol,metronidazole
Metronidazol vag,metronidazol vag,metronidazol,metronidazole
Metronidazole,metronidazole,metronidazole,metronidazole
Metronidazole + Nitrofurazone + centella asiática,metronidazole  nitrofurazone  centella asitica,metronidazole nitrofurazone centella asitica,metronidazole nitrofurazone centella asitica
Metronidazole crm,metronidazole crm,metronidazole,metronidazole
Metronidazole gel 0.75%,metronidazole gel ,metronidazole,metronidazole
Metronidazole oral tab,metronidazole oral tab,metronidazole,metronidazole
Metronidazole vaginal gel,metronidazole vaginal gel,metronidazole,metronidazole
Metronidozole,metronidozole,metronidozole,metronidazole
Metronizadole,metronizadole,metronizadole,metronidazole
Metropolol,metropolol,metropolol,metoprolol
Metrozol,metrozol,metrozol,letrozole
Mg,mg,mg,mg
Mg Al hydroxide,mg al hydroxide,mg al hydroxide,mg al hydroxide
Mg Supplement,mg supplement,mg supplement,mg supplement
Mg sulfate,mg sulfate,mg sulfate,mg sulfate
MgSO4,mgso,mgso,mgso
Mgnesium,mgnesium,mgnesium,magnesium
Miconazole,miconazole,miconazole,miconazole
Miconazole 7,miconazole ,miconazole,miconazole
Miconazole Nitrate,miconazole nitrate,miconazole nitrate,miconazole nitrate
Miconazole Nitrate 2 %,miconazole nitrate  ,miconazole nitrate,miconazole nitrate
Miconazole Nitrate-Wipes,miconazole nitrate wipes,miconazole nitrate wipes,miconazole nitrate
Miconazole Vaginal Cream,miconazole vaginal cream,miconazole,miconazole
Miconazole nitrate,miconazole nitrate,miconazole nitrate,miconazole nitrate
Miconazole vaginal cream,miconazole vaginal cream,miconazole,miconazole
Miconazole vaginal suppository,miconazole vaginal suppository,miconazole,miconazole
Microdantine,microdantine,microdantine,microdantine
Midazolam,midazolam,midazolam,midazolam
Midodrine,midodrine,midodrine,midodrine
Midol,midol,midol,midol
Midrin,midrin,midrin,midodrine
Minastrin,minastrin,minastrin,minastrin
Mineral Oil,mineral oil,mineral oil,mineral oil
Minocycline,minocycline,minocycline,minocycline
MiraLax (polyethylene glycol 3350),miralax polyethylene glycol ,miralax polyethylene glycol,polyethylene glycols
Miralax,miralax,miralax,miralax
Mirtazapine,mirtazapine,mirtazapine,mirtazapine
Mitarzapine,mitarzapine,mitarzapine,mirtazapine
Mometasone,mometasone,mometasone,mometasone
Mometasone Furoate,mometasone furoate,mometasone furoate,mometasone furoate
Mometasone Nasal Spray,mometasone nasal spray,mometasone,mometasone
Mometasone nasal spray,mometasone nasal spray,mometasone,mometasone
Mometasone topical cream,mometasone topical cream,mometasone,mometasone
Monistat,monistat,monistat,monistat
Monistat OTC,monistat otc,monistat otc,monistat otc
Monistat vaginal cream,monistat vaginal cream,monistat,monistat
Montelukast,montelukast,montelukast,montelukast
Montelukast Sodium,montelukast sodium,montelukast,montelukast
Morelgestromin-ethinyl estradiol,morelgestromin ethinyl estradiol,morelgestromin ethinyl estradiol,norelgestromin ethinyl estradiol
Moringa,moringa,moringa,morinda
Morphine,morphine,morphine,morphine
Morphine (IV),morphine iv,morphine,morphine
Morphine Injection,morphine injection,morphine injection,morphine injection
Mosquito Repelent,mosquito repelent,mosquito repelent,mosquito repelent
Mosquito Repellant,mosquito repellant,mosquito repellant,mosquito repellant
Mosquito Repellent,mosquito repellent,mosquito repellent,mosquito repellent
Mosquito repellant,mosquito repellant,mosquito repellant,mosquito repellant
Motrin,motrin,motrin,motrin
Mthylprednisolone,mthylprednisolone,mthylprednisolone,methylprednisolone
Mucinex,mucinex,mucinex,mucinex
Mucinex D,mucinex d,mucinex d,mucinex d
Mucinex DM,mucinex dm,mucinex,mucinex
Multigen,multigen,multigen,multigen
Multigreens,multigreens,multigreens,multigreens
Multiple Vitamins-Minerals,multiple vitamins minerals,multiple vitamins minerals,multiple vitamin mineral
Multivital,multivital,multivital,multivital
Multivitamiins,multivitamiins,multivitamiins,multivitamiins
Multivitamin,multivitamin,multivitamin,multivitamin
Multivitamins,multivitamins,multivitamins,multivitamins
Mupirocin,mupirocin,mupirocin,mupirocin
Mupirocin ointment,mupirocin ointment,mupirocin,mupirocin
Mupirocine,mupirocine,mupirocine,mupirocin
Muscle Relaxants,muscle relaxants,muscle relaxants,muscle relaxants
Mycolog,mycolog,mycolog,mycolog
Mycostatin,mycostatin,mycostatin,mycostatin
Mylanta,mylanta,mylanta,mylanta
N-acetyl cysteine,n acetyl cysteine,n acetyl cysteine,acetylcysteine
NABUMETONE,nabumetone,nabumetone,nabumetone
NAPROXEN,naproxen,naproxen,naproxen
NASACORT,nasacort,nasacort,nasacort
NASONEX NASAL,nasonex nasal,nasonex,nasonex
NECON,necon,necon,necon
NEURONTIN,neurontin,neurontin,neurontin
NEXIUM,nexium,nexium,nexium
NEXPLANON,nexplanon,nexplanon,nexplanon
NExium,nexium,nexium,nexium
NIFEDICAL XL,nifedical xl,nifedical,nifedical
NIFEREX,niferex,niferex,niferex
NIFEdipine,nifedipine,nifedipine,nifedipine
NITROFURANTOIN,nitrofurantoin,nitrofurantoin,nitrofurantoin
NITROFURANTOIN MACROCRYSTAL,nitrofurantoin macrocrystal,nitrofurantoin macrocrystal,nitrofurantoin macrocrystal
NIZORAL,nizoral,nizoral,nizoral
NIfedipine,nifedipine,nifedipine,nifedipine
NItrafurantoin,nitrafurantoin,nitrafurantoin,nitrofurantoin
NItrofurantoin,nitrofurantoin,nitrofurantoin,nitrofurantoin
NKA,nka,nka,nka
NORCO,norco,norco,norco
NORCO 10,norco ,norco,norco
NORCO 5,norco ,norco,norco
NOREPINEPHRINE,norepinephrine,norepinephrine,norepinephrine
NORVASC,norvasc,norvasc,norvasc
NORVIR,norvir,norvir,norvir
NOVOLIN,novolin,novolin,novolin
NOVOLOG,novolog,novolog,novolog
NOrco,norco,norco,norco
NPH,nph,nph,nph
NPH 35/10,nph ,nph,nph
NPH 38/38,nph ,nph,nph
NPH INSULIN,nph insulin,nph insulin,insulin
NPH Insulin,nph insulin,nph insulin,insulin
NPH Insulin 50/58,nph insulin ,nph insulin,insulin
NPH Insulin Humulin N,nph insulin humulin n,nph insulin humulin n,insulin
NPH insulin,nph insulin,nph insulin,insulin
NSAIDS,nsaids,nsaids,nsaids
NSULIN,nsulin,nsulin,insulin
NUVARING,nuvaring,nuvaring,nuvaring
NUVIGIL,nuvigil,nuvigil,nuvigil
NYQUIL,nyquil,nyquil,nyquil
NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% APPLY EXT OINT,nystatin triamcinolone   unitgm  apply ext oint,nystatin triamcinolone unitgm apply ext oint,nystatin triamcinolone unitgm apple ext oint
Na ferric gluconate,na ferric gluconate,na ferric gluconate,rna ferric gluconate
Na ferric gluconate infusion,na ferric gluconate infusion,na ferric gluconate,rna ferric gluconate
Naftifine,naftifine,naftifine,naftifine
Nalbuphine,nalbuphine,nalbuphine,nalbuphine
Naloxon,naloxon,naloxon,naloxone
Naloxone,naloxone,naloxone,naloxone
Naprosyn,naprosyn,naprosyn,naprosyn
Naproxen,naproxen,naproxen,naproxen
Naproxone,naproxone,naproxone,naproxen
